Id,COW,SCHL,MAR,OCCP,POBP,WKHP,SEX,RAC1P,MIG,HICOV,LANP,PAOC,PINCP,PUBCOV,VPS,DEAR,MIL,MIGSP,FER,ENG,JWAP,JWDP,OC,FDEYEP
104665,2.0,16.0,5.0,420.0,6.0,32.0,2.0,2.0,3.0,1.0,0.0,0.0,6000.0,1.0,0.0,2.0,4.0,6.0,2.0,0.0,62.0,18.0,0.0,0.0
104666,5.0,16.0,5.0,7030.0,6.0,65.0,1.0,8.0,3.0,1.0,0.0,0.0,15000.0,2.0,1.0,2.0,1.0,6.0,0.0,0.0,82.0,40.0,0.0,0.0
104667,4.0,19.0,5.0,3740.0,26.0,40.0,1.0,2.0,3.0,1.0,0.0,0.0,18000.0,2.0,0.0,2.0,4.0,6.0,0.0,0.0,196.0,118.0,0.0,0.0
104668,2.0,21.0,3.0,2060.0,303.0,8.0,2.0,1.0,1.0,1.0,1170.0,0.0,9500.0,1.0,0.0,2.0,4.0,0.0,0.0,1.0,101.0,61.0,0.0,0.0
104669,2.0,19.0,5.0,4760.0,11.0,30.0,1.0,1.0,3.0,1.0,0.0,0.0,4000.0,1.0,12.0,2.0,2.0,6.0,0.0,0.0,130.0,76.0,0.0,0.0
104670,5.0,16.0,5.0,7020.0,12.0,45.0,1.0,8.0,1.0,1.0,0.0,0.0,24000.0,2.0,1.0,2.0,1.0,0.0,0.0,0.0,87.0,46.0,0.0,0.0
104671,5.0,19.0,5.0,3645.0,48.0,45.0,2.0,6.0,1.0,1.0,1960.0,0.0,18000.0,2.0,1.0,2.0,1.0,0.0,2.0,1.0,61.0,19.0,0.0,0.0
104672,1.0,19.0,5.0,3602.0,6.0,40.0,1.0,1.0,1.0,1.0,0.0,0.0,12000.0,1.0,0.0,2.0,4.0,0.0,0.0,0.0,70.0,25.0,0.0,0.0
104673,1.0,16.0,5.0,4030.0,30.0,40.0,1.0,1.0,1.0,1.0,0.0,0.0,12000.0,2.0,1.0,2.0,2.0,0.0,0.0,0.0,75.0,35.0,0.0,0.0
104674,4.0,19.0,5.0,3602.0,6.0,20.0,2.0,9.0,3.0,1.0,1200.0,0.0,7600.0,2.0,0.0,2.0,4.0,6.0,2.0,1.0,111.0,71.0,0.0,1.0
104675,5.0,19.0,5.0,7140.0,6.0,50.0,1.0,8.0,1.0,1.0,0.0,0.0,21600.0,2.0,1.0,2.0,1.0,0.0,0.0,0.0,74.0,34.0,0.0,0.0
104676,5.0,16.0,5.0,2145.0,31.0,50.0,1.0,8.0,1.0,1.0,0.0,0.0,23000.0,2.0,1.0,2.0,1.0,0.0,0.0,0.0,88.0,47.0,0.0,0.0
104677,5.0,16.0,5.0,9830.0,9.0,40.0,1.0,1.0,3.0,1.0,0.0,0.0,29000.0,2.0,1.0,2.0,1.0,48.0,0.0,0.0,95.0,55.0,0.0,1.0
104678,1.0,17.0,5.0,9620.0,6.0,40.0,1.0,8.0,3.0,1.0,1200.0,0.0,27000.0,1.0,0.0,2.0,4.0,48.0,0.0,1.0,97.0,49.0,0.0,0.0
104679,1.0,16.0,5.0,9620.0,303.0,45.0,1.0,8.0,1.0,2.0,1200.0,0.0,60000.0,2.0,0.0,2.0,4.0,0.0,0.0,3.0,94.0,19.0,0.0,0.0
104680,1.0,19.0,5.0,3602.0,6.0,40.0,1.0,1.0,1.0,1.0,0.0,0.0,12000.0,1.0,0.0,2.0,4.0,0.0,0.0,0.0,70.0,25.0,0.0,0.0
104681,1.0,19.0,5.0,3602.0,6.0,16.0,2.0,3.0,1.0,1.0,0.0,0.0,700.0,2.0,0.0,2.0,4.0,0.0,2.0,0.0,73.0,31.0,0.0,0.0
104682,5.0,16.0,5.0,7140.0,53.0,50.0,1.0,1.0,1.0,1.0,0.0,0.0,21600.0,2.0,1.0,2.0,1.0,0.0,0.0,0.0,67.0,25.0,0.0,0.0
104683,5.0,19.0,1.0,3870.0,303.0,50.0,1.0,2.0,1.0,1.0,0.0,0.0,56600.0,2.0,1.0,2.0,1.0,0.0,0.0,0.0,52.0,14.0,0.0,0.0
104684,1.0,19.0,5.0,520.0,6.0,35.0,1.0,9.0,1.0,1.0,0.0,0.0,10000.0,2.0,0.0,2.0,4.0,0.0,0.0,0.0,186.0,112.0,0.0,0.0
104685,1.0,19.0,5.0,4055.0,6.0,30.0,2.0,1.0,3.0,1.0,0.0,0.0,23600.0,2.0,0.0,2.0,4.0,6.0,2.0,0.0,80.0,37.0,0.0,0.0
104686,4.0,19.0,5.0,3602.0,6.0,20.0,2.0,2.0,1.0,1.0,0.0,0.0,7600.0,2.0,0.0,2.0,4.0,0.0,2.0,0.0,208.0,124.0,0.0,0.0
104687,1.0,19.0,5.0,9620.0,6.0,45.0,1.0,2.0,1.0,1.0,0.0,0.0,25000.0,2.0,0.0,2.0,4.0,0.0,0.0,0.0,3.0,1.0,0.0,0.0
104688,5.0,16.0,5.0,7140.0,45.0,50.0,1.0,1.0,1.0,1.0,0.0,0.0,21000.0,2.0,1.0,2.0,1.0,0.0,0.0,0.0,66.0,25.0,0.0,0.0
104689,2.0,22.0,2.0,2060.0,110.0,37.0,2.0,1.0,1.0,1.0,0.0,0.0,36000.0,2.0,0.0,2.0,4.0,0.0,2.0,0.0,100.0,61.0,0.0,0.0
104690,5.0,16.0,1.0,9825.0,26.0,40.0,1.0,1.0,1.0,1.0,0.0,0.0,50000.0,2.0,1.0,2.0,1.0,0.0,0.0,0.0,85.0,46.0,0.0,0.0
104691,2.0,19.0,5.0,2350.0,6.0,3.0,2.0,6.0,1.0,1.0,1737.0,0.0,6500.0,2.0,0.0,2.0,4.0,0.0,2.0,1.0,100.0,61.0,0.0,0.0
104692,2.0,20.0,5.0,3324.0,6.0,10.0,2.0,1.0,1.0,1.0,0.0,0.0,6500.0,2.0,0.0,2.0,4.0,0.0,2.0,0.0,129.0,84.0,0.0,0.0
104693,1.0,19.0,5.0,4760.0,6.0,10.0,1.0,2.0,3.0,1.0,0.0,0.0,9730.0,2.0,0.0,2.0,4.0,6.0,0.0,0.0,187.0,112.0,0.0,0.0
104694,1.0,16.0,5.0,9620.0,41.0,45.0,1.0,1.0,1.0,1.0,0.0,0.0,14500.0,2.0,0.0,2.0,4.0,0.0,0.0,0.0,248.0,136.0,0.0,0.0
104695,2.0,19.0,5.0,4220.0,362.0,20.0,1.0,1.0,1.0,2.0,0.0,0.0,6000.0,2.0,0.0,2.0,4.0,0.0,0.0,0.0,130.0,84.0,0.0,1.0
104696,1.0,19.0,3.0,5120.0,6.0,40.0,2.0,1.0,1.0,1.0,0.0,0.0,30000.0,2.0,0.0,2.0,4.0,0.0,0.0,0.0,79.0,39.0,0.0,0.0
104697,5.0,16.0,5.0,9825.0,48.0,50.0,1.0,1.0,1.0,1.0,0.0,0.0,22000.0,2.0,1.0,2.0,1.0,0.0,0.0,0.0,76.0,35.0,0.0,0.0
104698,5.0,16.0,5.0,9830.0,6.0,50.0,1.0,1.0,1.0,1.0,0.0,0.0,29000.0,2.0,1.0,2.0,1.0,0.0,0.0,0.0,88.0,48.0,0.0,1.0
104699,1.0,19.0,5.0,2001.0,207.0,14.0,2.0,6.0,1.0,1.0,2000.0,0.0,8100.0,2.0,0.0,2.0,4.0,0.0,2.0,2.0,130.0,84.0,0.0,0.0
104700,1.0,19.0,5.0,4760.0,47.0,40.0,2.0,1.0,3.0,1.0,0.0,0.0,7400.0,2.0,0.0,2.0,4.0,21.0,2.0,0.0,200.0,119.0,0.0,0.0
104701,5.0,18.0,4.0,9830.0,48.0,10.0,2.0,1.0,1.0,1.0,1200.0,0.0,17000.0,2.0,1.0,2.0,1.0,0.0,2.0,1.0,239.0,135.0,0.0,0.0
104702,1.0,17.0,5.0,7640.0,6.0,40.0,1.0,1.0,3.0,2.0,0.0,0.0,4300.0,2.0,0.0,2.0,4.0,6.0,0.0,0.0,82.0,37.0,0.0,0.0
104703,5.0,19.0,5.0,9825.0,12.0,60.0,1.0,1.0,1.0,1.0,0.0,0.0,26400.0,2.0,1.0,2.0,1.0,0.0,0.0,0.0,71.0,31.0,0.0,1.0
104704,5.0,16.0,5.0,9825.0,18.0,40.0,1.0,1.0,3.0,1.0,0.0,0.0,6500.0,2.0,1.0,2.0,1.0,6.0,0.0,0.0,55.0,16.0,0.0,0.0
104705,2.0,16.0,5.0,8740.0,6.0,10.0,2.0,6.0,1.0,1.0,0.0,0.0,1700.0,2.0,0.0,2.0,4.0,0.0,2.0,0.0,111.0,71.0,0.0,0.0
104706,5.0,14.0,5.0,9645.0,6.0,40.0,1.0,9.0,1.0,1.0,1200.0,0.0,65000.0,1.0,0.0,2.0,4.0,0.0,0.0,1.0,82.0,40.0,0.0,0.0
104707,3.0,16.0,5.0,4110.0,6.0,20.0,2.0,1.0,3.0,1.0,0.0,0.0,3000.0,2.0,0.0,2.0,4.0,6.0,2.0,0.0,125.0,82.0,0.0,0.0
104708,1.0,16.0,5.0,4760.0,6.0,7.0,2.0,6.0,1.0,1.0,0.0,0.0,1800.0,2.0,0.0,2.0,4.0,0.0,2.0,0.0,130.0,84.0,0.0,0.0
104709,4.0,19.0,5.0,3740.0,26.0,40.0,1.0,2.0,3.0,1.0,0.0,0.0,18000.0,2.0,0.0,2.0,4.0,6.0,0.0,0.0,196.0,118.0,0.0,0.0
104710,5.0,16.0,5.0,9300.0,48.0,55.0,1.0,8.0,1.0,1.0,0.0,0.0,19400.0,2.0,1.0,2.0,1.0,0.0,0.0,0.0,94.0,53.0,0.0,0.0
104711,5.0,16.0,5.0,6305.0,17.0,50.0,1.0,8.0,2.0,1.0,0.0,0.0,27600.0,2.0,1.0,2.0,1.0,113.0,0.0,0.0,80.0,40.0,0.0,0.0
104712,1.0,19.0,4.0,4220.0,6.0,40.0,1.0,2.0,3.0,1.0,0.0,0.0,27700.0,2.0,12.0,2.0,2.0,6.0,0.0,0.0,163.0,101.0,0.0,0.0
104713,1.0,1.0,1.0,6050.0,303.0,40.0,1.0,9.0,2.0,1.0,1200.0,0.0,16050.0,1.0,0.0,2.0,4.0,303.0,0.0,3.0,76.0,31.0,0.0,0.0
104714,2.0,19.0,5.0,1970.0,42.0,2.0,2.0,1.0,1.0,1.0,0.0,0.0,2100.0,2.0,0.0,2.0,4.0,0.0,2.0,0.0,157.0,97.0,0.0,0.0
104715,5.0,16.0,5.0,9825.0,31.0,55.0,1.0,1.0,1.0,1.0,0.0,0.0,25000.0,2.0,1.0,2.0,1.0,0.0,0.0,0.0,69.0,29.0,0.0,0.0
104716,1.0,18.0,5.0,2320.0,6.0,11.0,1.0,1.0,3.0,1.0,0.0,0.0,2640.0,2.0,0.0,2.0,4.0,6.0,0.0,0.0,112.0,67.0,0.0,0.0
104717,1.0,16.0,3.0,3930.0,6.0,40.0,1.0,1.0,3.0,1.0,0.0,0.0,15000.0,1.0,0.0,2.0,4.0,6.0,0.0,0.0,194.0,115.0,0.0,0.0
104718,1.0,22.0,3.0,2850.0,17.0,25.0,1.0,2.0,1.0,1.0,0.0,0.0,6000.0,1.0,0.0,1.0,4.0,0.0,0.0,0.0,49.0,13.0,0.0,0.0
104719,1.0,20.0,5.0,4965.0,207.0,12.0,2.0,6.0,1.0,1.0,0.0,0.0,15000.0,2.0,0.0,2.0,4.0,0.0,2.0,0.0,218.0,127.0,0.0,0.0
104720,1.0,19.0,5.0,5240.0,6.0,15.0,2.0,1.0,1.0,1.0,0.0,0.0,25000.0,2.0,0.0,2.0,4.0,0.0,2.0,0.0,236.0,134.0,0.0,1.0
104721,1.0,19.0,5.0,4760.0,6.0,10.0,1.0,2.0,1.0,1.0,0.0,0.0,9730.0,2.0,0.0,2.0,4.0,0.0,0.0,0.0,199.0,119.0,0.0,0.0
104722,5.0,16.0,5.0,9830.0,45.0,40.0,2.0,1.0,3.0,1.0,0.0,0.0,20000.0,2.0,1.0,2.0,1.0,45.0,2.0,0.0,97.0,56.0,0.0,0.0
104723,1.0,13.0,2.0,6260.0,102.0,33.0,1.0,1.0,3.0,1.0,0.0,0.0,30000.0,1.0,0.0,2.0,4.0,6.0,0.0,0.0,48.0,13.0,0.0,0.0
104724,1.0,16.0,5.0,7750.0,210.0,20.0,1.0,6.0,1.0,1.0,0.0,0.0,7300.0,1.0,0.0,2.0,4.0,0.0,0.0,0.0,89.0,43.0,0.0,0.0
104725,1.0,18.0,2.0,4230.0,233.0,32.0,2.0,6.0,1.0,1.0,2910.0,0.0,17100.0,2.0,0.0,2.0,4.0,0.0,0.0,3.0,125.0,82.0,0.0,0.0
104726,1.0,1.0,1.0,9510.0,303.0,40.0,1.0,9.0,1.0,1.0,1200.0,0.0,45000.0,1.0,0.0,2.0,4.0,0.0,0.0,3.0,64.0,19.0,0.0,0.0
104727,2.0,19.0,5.0,3960.0,6.0,4.0,1.0,1.0,1.0,1.0,0.0,0.0,230.0,2.0,0.0,2.0,4.0,0.0,0.0,0.0,143.0,91.0,0.0,0.0
104728,5.0,16.0,4.0,5000.0,6.0,40.0,1.0,9.0,3.0,1.0,1200.0,0.0,24500.0,2.0,1.0,2.0,1.0,39.0,0.0,1.0,240.0,135.0,0.0,0.0
104729,4.0,19.0,5.0,1032.0,6.0,20.0,2.0,9.0,3.0,2.0,0.0,0.0,5300.0,2.0,0.0,2.0,4.0,41.0,2.0,0.0,179.0,109.0,0.0,0.0
104730,1.0,19.0,5.0,4251.0,48.0,35.0,1.0,1.0,1.0,1.0,0.0,0.0,5000.0,2.0,0.0,2.0,4.0,0.0,0.0,0.0,193.0,115.0,0.0,0.0
104731,1.0,16.0,5.0,4055.0,6.0,30.0,2.0,1.0,1.0,1.0,0.0,0.0,23400.0,1.0,0.0,2.0,4.0,0.0,2.0,0.0,117.0,76.0,0.0,1.0
104732,5.0,19.0,5.0,7140.0,6.0,84.0,2.0,2.0,2.0,1.0,1200.0,0.0,35000.0,2.0,1.0,1.0,1.0,555.0,2.0,1.0,85.0,43.0,0.0,0.0
104733,1.0,5.0,5.0,8990.0,6.0,40.0,1.0,8.0,3.0,2.0,1200.0,0.0,3800.0,2.0,0.0,2.0,4.0,6.0,0.0,1.0,84.0,43.0,0.0,0.0
104734,2.0,22.0,5.0,230.0,51.0,45.0,2.0,1.0,1.0,1.0,0.0,0.0,12000.0,1.0,0.0,2.0,4.0,0.0,2.0,0.0,110.0,67.0,0.0,0.0
104735,2.0,21.0,5.0,2320.0,11.0,55.0,2.0,1.0,1.0,1.0,0.0,0.0,68010.0,2.0,0.0,2.0,4.0,0.0,2.0,0.0,99.0,59.0,0.0,0.0
104736,5.0,16.0,5.0,3870.0,17.0,42.0,1.0,9.0,1.0,1.0,0.0,0.0,38300.0,2.0,1.0,2.0,1.0,0.0,0.0,0.0,46.0,13.0,0.0,0.0
104737,1.0,19.0,5.0,4110.0,49.0,15.0,1.0,6.0,1.0,1.0,1690.0,0.0,6000.0,1.0,0.0,2.0,4.0,0.0,0.0,1.0,96.0,55.0,0.0,0.0
104738,1.0,18.0,5.0,2350.0,27.0,3.0,2.0,9.0,3.0,1.0,0.0,0.0,200.0,2.0,0.0,2.0,4.0,27.0,2.0,0.0,178.0,108.0,0.0,0.0
104739,5.0,16.0,5.0,700.0,6.0,50.0,1.0,9.0,1.0,1.0,0.0,0.0,25000.0,2.0,1.0,2.0,1.0,0.0,0.0,0.0,90.0,49.0,0.0,0.0
104740,2.0,19.0,5.0,1108.0,6.0,14.0,1.0,1.0,3.0,1.0,0.0,0.0,79600.0,2.0,0.0,2.0,4.0,6.0,0.0,0.0,203.0,121.0,0.0,0.0
104741,1.0,21.0,5.0,1021.0,212.0,40.0,1.0,1.0,1.0,1.0,1290.0,0.0,50000.0,2.0,0.0,2.0,4.0,0.0,0.0,1.0,102.0,61.0,0.0,0.0
104742,2.0,19.0,5.0,735.0,6.0,18.0,2.0,2.0,3.0,1.0,0.0,0.0,13200.0,2.0,0.0,2.0,4.0,6.0,2.0,0.0,180.0,109.0,0.0,0.0
104743,4.0,19.0,5.0,2205.0,12.0,20.0,2.0,8.0,3.0,1.0,1200.0,0.0,30700.0,2.0,0.0,2.0,4.0,6.0,2.0,1.0,87.0,43.0,0.0,1.0
104744,5.0,16.0,5.0,7140.0,26.0,55.0,2.0,1.0,3.0,1.0,0.0,0.0,12000.0,2.0,1.0,2.0,1.0,26.0,2.0,0.0,75.0,34.0,0.0,0.0
104745,1.0,16.0,5.0,5400.0,6.0,20.0,2.0,1.0,1.0,1.0,0.0,0.0,7000.0,2.0,0.0,2.0,4.0,0.0,2.0,0.0,201.0,119.0,0.0,0.0
104746,3.0,19.0,5.0,4600.0,6.0,5.0,2.0,1.0,3.0,1.0,0.0,0.0,5500.0,2.0,0.0,2.0,4.0,6.0,2.0,0.0,138.0,89.0,0.0,1.0
104747,1.0,16.0,1.0,7340.0,303.0,35.0,1.0,9.0,1.0,1.0,1200.0,0.0,26000.0,1.0,0.0,2.0,4.0,0.0,0.0,3.0,34.0,7.0,0.0,0.0
104748,1.0,19.0,5.0,3602.0,6.0,40.0,1.0,1.0,1.0,1.0,0.0,0.0,12000.0,1.0,0.0,2.0,4.0,0.0,0.0,0.0,70.0,25.0,0.0,0.0
104749,2.0,23.0,3.0,2100.0,163.0,70.0,2.0,1.0,1.0,1.0,1250.0,0.0,83200.0,2.0,0.0,2.0,4.0,0.0,0.0,2.0,98.0,58.0,0.0,0.0
104750,4.0,19.0,5.0,2350.0,6.0,10.0,2.0,1.0,3.0,1.0,0.0,0.0,2790.0,2.0,0.0,2.0,4.0,6.0,2.0,0.0,133.0,85.0,0.0,0.0
104751,5.0,18.0,5.0,7020.0,48.0,45.0,1.0,1.0,2.0,1.0,0.0,0.0,26000.0,2.0,1.0,2.0,1.0,215.0,0.0,0.0,87.0,47.0,0.0,0.0
104752,5.0,18.0,5.0,7140.0,33.0,40.0,1.0,1.0,1.0,1.0,0.0,0.0,34900.0,2.0,1.0,2.0,1.0,0.0,0.0,0.0,83.0,43.0,0.0,0.0
104753,1.0,16.0,5.0,4435.0,27.0,37.0,1.0,1.0,1.0,1.0,1582.0,0.0,13000.0,1.0,0.0,2.0,4.0,0.0,0.0,1.0,193.0,115.0,0.0,1.0
104754,1.0,19.0,5.0,4055.0,6.0,30.0,2.0,1.0,3.0,1.0,0.0,0.0,23400.0,2.0,0.0,2.0,4.0,6.0,2.0,0.0,80.0,37.0,0.0,0.0
104755,1.0,19.0,5.0,5400.0,214.0,15.0,2.0,6.0,3.0,1.0,2000.0,0.0,8000.0,2.0,0.0,2.0,4.0,17.0,2.0,1.0,202.0,120.0,0.0,0.0
104756,1.0,24.0,5.0,2205.0,6.0,40.0,2.0,1.0,1.0,1.0,0.0,0.0,39000.0,2.0,0.0,2.0,4.0,0.0,2.0,0.0,107.0,67.0,0.0,0.0
104757,2.0,13.0,5.0,5000.0,6.0,10.0,2.0,1.0,3.0,1.0,0.0,0.0,32500.0,1.0,0.0,2.0,4.0,6.0,2.0,0.0,111.0,71.0,0.0,0.0
104758,2.0,19.0,5.0,5860.0,48.0,40.0,2.0,2.0,3.0,1.0,6370.0,0.0,22000.0,2.0,0.0,2.0,4.0,48.0,2.0,4.0,142.0,90.0,0.0,0.0
104759,1.0,18.0,4.0,5120.0,303.0,40.0,1.0,8.0,3.0,1.0,1200.0,0.0,37500.0,1.0,0.0,2.0,4.0,6.0,0.0,2.0,64.0,19.0,0.0,0.0
104760,3.0,21.0,5.0,2350.0,6.0,15.0,2.0,8.0,1.0,1.0,0.0,0.0,7000.0,2.0,0.0,2.0,4.0,0.0,2.0,0.0,91.0,49.0,0.0,1.0
104761,1.0,16.0,3.0,4740.0,6.0,30.0,1.0,8.0,1.0,1.0,0.0,0.0,3000.0,1.0,1.0,1.0,2.0,0.0,0.0,0.0,58.0,19.0,0.0,0.0
104762,5.0,16.0,5.0,1560.0,48.0,68.0,2.0,2.0,3.0,1.0,0.0,0.0,27000.0,2.0,1.0,2.0,1.0,51.0,2.0,0.0,66.0,19.0,0.0,0.0
104763,2.0,21.0,1.0,410.0,40.0,44.0,2.0,1.0,2.0,1.0,1155.0,0.0,5700.0,2.0,0.0,2.0,4.0,207.0,2.0,1.0,7.0,1.0,0.0,0.0
104764,1.0,16.0,5.0,4720.0,6.0,12.0,2.0,6.0,1.0,1.0,2910.0,0.0,2000.0,2.0,0.0,2.0,4.0,0.0,2.0,3.0,207.0,123.0,0.0,0.0
104765,5.0,18.0,5.0,7140.0,39.0,40.0,1.0,2.0,3.0,1.0,1200.0,0.0,25000.0,2.0,1.0,2.0,1.0,37.0,0.0,3.0,240.0,135.0,0.0,0.0
104766,2.0,21.0,5.0,2310.0,36.0,40.0,2.0,1.0,3.0,1.0,0.0,0.0,15000.0,2.0,0.0,2.0,4.0,36.0,2.0,0.0,86.0,43.0,0.0,0.0
104767,1.0,20.0,5.0,7640.0,6.0,40.0,1.0,1.0,3.0,2.0,0.0,0.0,4300.0,2.0,0.0,2.0,4.0,6.0,0.0,0.0,82.0,37.0,0.0,0.0
104768,2.0,16.0,5.0,8740.0,6.0,10.0,2.0,6.0,1.0,1.0,0.0,0.0,1700.0,2.0,0.0,2.0,4.0,0.0,2.0,0.0,111.0,71.0,0.0,0.0
104769,2.0,21.0,5.0,1010.0,9.0,25.0,2.0,6.0,3.0,1.0,0.0,0.0,7700.0,2.0,0.0,2.0,4.0,6.0,2.0,0.0,106.0,65.0,0.0,0.0
104770,1.0,18.0,5.0,4720.0,6.0,20.0,2.0,9.0,1.0,1.0,0.0,0.0,6000.0,1.0,0.0,2.0,4.0,0.0,2.0,0.0,136.0,85.0,0.0,0.0
104771,5.0,16.0,5.0,9825.0,37.0,50.0,1.0,1.0,1.0,1.0,0.0,0.0,20000.0,2.0,1.0,2.0,1.0,0.0,0.0,0.0,74.0,34.0,0.0,0.0
104772,5.0,19.0,5.0,4435.0,34.0,20.0,1.0,1.0,3.0,1.0,0.0,0.0,10000.0,2.0,0.0,2.0,4.0,6.0,0.0,0.0,86.0,43.0,0.0,0.0
104773,2.0,17.0,1.0,7340.0,26.0,70.0,1.0,1.0,1.0,1.0,0.0,0.0,127500.0,2.0,0.0,2.0,4.0,0.0,0.0,0.0,112.0,73.0,0.0,0.0
104774,5.0,16.0,5.0,700.0,6.0,40.0,1.0,1.0,3.0,1.0,0.0,0.0,23600.0,2.0,1.0,2.0,1.0,6.0,0.0,0.0,80.0,39.0,0.0,0.0
104775,1.0,18.0,5.0,3930.0,242.0,40.0,1.0,9.0,1.0,1.0,0.0,0.0,21200.0,1.0,1.0,2.0,2.0,0.0,0.0,0.0,72.0,19.0,0.0,0.0
104776,5.0,16.0,5.0,2145.0,31.0,50.0,1.0,8.0,1.0,1.0,0.0,0.0,23000.0,2.0,1.0,2.0,1.0,0.0,0.0,0.0,88.0,47.0,0.0,0.0
104777,6.0,18.0,5.0,4110.0,6.0,24.0,2.0,6.0,1.0,1.0,1960.0,0.0,4000.0,2.0,0.0,2.0,4.0,0.0,2.0,2.0,204.0,121.0,0.0,0.0
